ts_iso,ts_epoch_ms,lat,lon,sog_kn,cog_deg,gps_valid,gps_accuracy_m,wind_dir_deg,wind_calibrated,wind_calib_state,wind_net_deg,wind_range_deg,closehauled_twa_deg,closehauled_samples,downwind_twa_deg,calib_mode_on,smart_mode_on,active_boat_profile,vmg_kn,distance_traveled_m,home_active,home_bearing_deg,home_dist_m,home_rec_heading_deg,home_maneuver_needed,home_vmc_kn,home_eta_s,train_mode,competition_active,comp_leg,comp_bearing_deg,comp_dist_m,comp_rec_heading_deg,comp_maneuver_needed,comp_lap_count,comp_is_estimated,lake_dist_m,lake_dist_pct,watch_connected,operation_mode,app_role,status_text,status_level,event
14:08:28,1786795708284,46.8263476,10.520226,1.5210422283639906,184.12696838378906,true,5.366,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:29,1786795709288,46.8263424,10.5202248,1.4089654289309979,183.23983764648438,true,5.344,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:30,1786795710294,46.8263353,10.5202217,1.4983815651733874,183.85061645507812,true,5.237,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:31,1786795711302,46.8263279,10.5202186,1.514939885780096,176.16326904296875,true,5.172,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:32,1786795712311,46.8263214,10.5202186,1.4356034073586463,161.22665405273438,true,5.203,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:33,1786795713316,46.8263179,10.520212,1.3243069393787383,182.50640869140625,true,5.062,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:34,1786795714323,46.826317,10.5202064,0.8025010925638675,194.6722869873047,true,4.814,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:35,1786795715330,46.8263139,10.5202053,0.9821865737822055,152.98077392578125,true,4.497,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:36,1786795716338,46.8263118,10.5202078,0.49681930927312373,135.0359649658203,true,4.085,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:37,1786795717345,46.826312,10.5202091,0.27991468257164953,146.03819274902344,true,3.416,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
